,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
6656,9000000,Fox Searchlight Pictures,Chile,Pablo Larraín,Biography,13958679,Jackie,R,02-12-2016,100.0,6.8,Natalie Portman,50652.0,Noah Oppenheim,2016.0
6657,108000000,Appian Way,USA,Ben Affleck,Action,10377558,Live by Night,R,13-01-2017,129.0,6.4,Ben Affleck,35064.0,Ben Affleck,2016.0
6658,75000000,Universal Pictures,Japan,Chris Renaud,Animation,368384330,La vida secreta de tus mascotas,PG,08-07-2016,87.0,6.6,Louis C.K.,133755.0,Cinco Paul,2016.0
6659,140000000,Pyramania,USA,Alex Proyas,Action,31153464,Gods of Egypt,PG-13,26-02-2016,127.0,5.4,Brenton Thwaites,78473.0,Matt Sazama,2016.0
6660,40000000,Fox 2000 Pictures,USA,Greg Mottola,Action,14896798,Keeping Up with the Joneses,PG-13,21-10-2016,105.0,5.8,Zach Galifianakis,39443.0,Michael LeSieur,2016.0
6661,60000000,Paramount Pictures,China,Edward Zwick,Action,58399160,Jack Reacher: Sin regreso,PG-13,21-10-2016,118.0,6.1,Tom Cruise,91071.0,Richard Wenk,2016.0
6662,0,Toy Fight Productions,Canada,Nacho Vigalondo,Action,3021345,Ella es un monstruo,R,16-06-2017,109.0,6.2,Anne Hathaway,29178.0,Nacho Vigalondo,2016.0
6663,19000000,Annapurna Pictures,USA,Greg Tiernan,Animation,97661826,Sausage Party,R,12-08-2016,89.0,6.2,Seth Rogen,133200.0,Kyle Hunter,2016.0
6664,50000000,Paramount Pictures,Malta,Michael Bay,Action,52853219,13 Hours,R,15-01-2016,144.0,7.3,John Krasinski,82656.0,Chuck Hogan,2016.0
6665,36000000,New Line Cinema,USA,David Frankel,Drama,30982955,Collateral Beauty,PG-13,16-12-2016,97.0,6.8,Will Smith,56439.0,Allan Loeb,2016.0
6666,0,Electric City Entertainment,USA,Matt Ross,Comedy,5875006,Captain Fantastic,R,29-07-2016,118.0,7.9,Viggo Mortensen,121560.0,Matt Ross,2016.0
6667,75000000,Columbia Pictures,USA,Ron Howard,Action,34343574,Inferno,PG-13,28-10-2016,121.0,6.2,Tom Hanks,111448.0,Dan Brown,2016.0
6668,5000000,Lifetime Films,Japan,Eleanor Coppola,Comedy,5300675,Paris Can Wait,PG,03-08-2017,92.0,5.8,Diane Lane,2629.0,Eleanor Coppola,2016.0
6669,13000000,Transfilm,France,John Madden,Drama,3439171,Sola contra el poder,R,09-12-2016,132.0,7.4,Jessica Chastain,28302.0,Jonathan Perera,2016.0
6670,144000000,Columbia Pictures,USA,Paul Feig,Action,128344089,Ghostbusters,PG-13,15-07-2016,116.0,5.3,Melissa McCarthy,157351.0,Katie Dippold,2016.0
6671,15000000,Paramount Pictures,USA,Dan Trachtenberg,Drama,71897215,10 Cloverfield Lane,PG-13,11-03-2016,104.0,7.2,John Goodman,208655.0,Josh Campbell,2016.0
6672,20000000,Allison Shearmur Productions,USA,Henry Joost,Adventure,38562379,Nerve,PG-13,27-07-2016,96.0,6.6,Emma Roberts,81127.0,Jeanne Ryan,2016.0
6673,160000000,Legendary Entertainment,China,Duncan Jones,Action,47365290,Warcraft: The Beginning,PG-13,10-06-2016,123.0,6.9,Travis Fimmel,197373.0,Charles Leavitt,2016.0
6674,33000000,Twentieth Century Fox Film Corporation,USA,Jake Szymanski,Adventure,46007113,Mike and Dave Need Wedding Dates,R,08-07-2016,98.0,6.0,Zac Efron,61076.0,Andrew Jay Cohen,2016.0
6675,90000000,K/O Paper Products,France,Jon M. Chu,Action,65075540,Los ilusionistas 2,PG-13,10-06-2016,129.0,6.5,Jesse Eisenberg,171985.0,Ed Solomon,2016.0
6676,175000000,Fairview Entertainment,UK,Jon Favreau,Adventure,364001123,The Jungle Book,PG,15-04-2016,106.0,7.5,Neel Sethi,209062.0,Justin Marks,2016.0
6677,7000000,Space Rocket Nation,Denmark,Nicolas Winding Refn,Horror,1333124,El demonio neón,R,24-06-2016,118.0,6.2,Elle Fanning,56660.0,Nicolas Winding Refn,2016.0
6678,110000000,Summit Entertainment,Hong Kong,Peter Berg,Action,61284947,Horizonte profundo,PG-13,30-09-2016,107.0,7.2,Mark Wahlberg,104498.0,Matthew Michael Carnahan,2016.0
6679,17000000,Columbia Pictures,USA,Jaume Collet-Serra,Drama,55121623,The Shallows,PG-13,24-06-2016,86.0,6.3,Blake Lively,87057.0,Anthony Jaswinski,2016.0
6680,24000000,Bron Studios,USA,Denzel Washington,Drama,57642961,Fences,PG-13,25-12-2016,139.0,7.2,Denzel Washington,62351.0,August Wilson,2016.0
6681,23000000,Hurwitz Creative,UK,Dexter Fletcher,Biography,15785632,Eddie the Eagle,PG-13,26-02-2016,106.0,7.4,Taron Egerton,60644.0,Sean Macaulay,2016.0
6682,5000000,BH Tilt,USA,Greg McLean,Action,10164675,The Belko Experiment,R,17-03-2017,89.0,6.1,John Gallagher Jr.,23422.0,James Gunn,2016.0
6683,45000000,Bluegrass Films,Hong Kong,Peter Berg,Crime,31886361,Día del atentado,R,13-01-2017,133.0,7.4,Mark Wahlberg,51563.0,Peter Berg,2016.0
6684,4900000,New Line Cinema,USA,David F. Sandberg,Horror,67235683,Lights Out,PG-13,22-07-2016,81.0,6.4,Teresa Palmer,80019.0,Eric Heisserer,2016.0
6685,40000000,Endgame Entertainment,France,Oliver Stone,Biography,21587519,Snowden,R,16-09-2016,134.0,7.3,Joseph Gordon-Levitt,92094.0,Kieran Fitzgerald,2016.0
6686,0,Film Science,USA,Kelly Reichardt,Drama,1032942,Certain Women,R,22-02-2017,107.0,6.5,Michelle Williams,6298.0,Kelly Reichardt,2016.0
6687,200000000,Pixar Animation Studios,USA,Andrew Stanton,Animation,486295561,Finding Dory,PG,17-06-2016,97.0,7.4,Ellen DeGeneres,173005.0,Andrew Stanton,2016.0
6688,115000000,Universal Pictures,USA,Cedric Nicolas-Troyan,Action,47952020,The Huntsman: Winter's War,PG-13,22-04-2016,114.0,6.1,Chris Hemsworth,71570.0,Evan Spiliotopoulos,2016.0
6689,10000000,Film4,UK,Ben Wheatley,Action,1798472,Free Fire,R,21-04-2017,91.0,6.5,Sharlto Copley,22157.0,Amy Jump,2016.0
6690,0,Egoli Tossell KLK,UK,David Leveaux,Drama,606989,The Exception,R,02-06-2017,107.0,6.8,Lily James,3985.0,Simon Burke,2016.0
6691,20000000,Heyday Films,UK,Derek Cianfrance,Drama,12545979,The Light Between Oceans,PG-13,02-09-2016,133.0,7.2,Michael Fassbender,32595.0,Derek Cianfrance,2016.0
6692,165000000,Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,103144286,Independence Day: Resurgence,PG-13,24-06-2016,120.0,5.3,Liam Hemsworth,137119.0,Nicolas Wright,2016.0
6693,50000000,New Line Cinema,USA,Rawson Marshall Thurber,Action,127440871,Central Intelligence,PG-13,17-06-2016,107.0,6.3,Dwayne Johnson,106773.0,Ike Barinholtz,2016.0
6694,8000000,Scott Free Productions,USA,Luke Scott,Action,3912052,Morgan,R,02-09-2016,92.0,5.8,Kate Mara,27297.0,Seth W. Owen,2016.0
6695,28000000,Cross Creek Pictures,USA,Burr Steers,Action,10907291,Pride and Prejudice and Zombies,PG-13,05-02-2016,108.0,5.8,Lily James,37491.0,Burr Steers,2016.0
6696,100000000,LightWorkers Media,USA,Timur Bekmambetov,Action,26384681,Ben-Hur,PG-13,19-08-2016,123.0,5.7,Jack Huston,31863.0,Lew Wallace,2016.0
6697,31500000,BenderSpink,USA,Ariel Vromen,Action,14268533,Criminal,R,15-04-2016,113.0,6.3,Kevin Costner,42478.0,Douglas Cook,2016.0
